v4_4,Measure Type,Unit Multiplier,Data Marking,CV,calendar-years,admin-geography,ashe-statistics,ashe-sex,ashe-working-pattern,ashe-hours-and-earnings,ashe-workplace-or-residence
,GBP,1,x,x,2016,E06000001,80,male,full-time,basic-pay-including-other-pay,workplace
,Count,1,x,x,2016,E06000005,25,all,part-time,paid-hours-worked-overtime,workplace
5.2,Count,1,,2.5,2016,K02000001,10,male,part-time,paid-hours-worked-basic,workplace
628.3,GBP,1,,1.9,2016,E12000001,70,all,full-time,weekly-pay-gross,workplace
35.0,Count,1,,2.1,2016,E06000004,30,female,full-time,paid-hours-worked-basic,workplace
478.2,GBP,1,,12.0,2016,E06000003,median,male,all,weekly-pay-gross,workplace
484.8,GBP,1,,11.0,2016,E06000003,70,all,all,weekly-pay-excluding-overtime,workplace
,Count,1,x,33.0,2016,E06000002,30,all,part-time,paid-hours-worked-overtime,workplace
,Count,1,x,x,2016,E06000003,90,male,full-time,paid-hours-worked-overtime,workplace
344.9,GBP,1,,5.1,2016,E06000002,30,male,all,weekly-pay-gross,workplace
12.3,Count,1,,5.6,2016,K03000001,90,all,part-time,paid-hours-worked-overtime,workplace
14.2,GBP,1,,1.5,2016,E92000001,20,all,all,overtime-pay,workplace
291.0,GBP,1,,0.3,2016,E92000001,10,female,full-time,weekly-pay-gross,workplace
721.8,GBP,1,,0.3,2016,E92000001,70,male,full-time,basic-pay-including-other-pay,workplace
5.6,Count,1,,4.8,2016,E92000001,75,female,full-time,paid-hours-worked-overtime,workplace
9.0,GBP,1,,4.5,2016,E06000004,25,male,all,hourly-pay-gross,workplace
380.5,GBP,1,,1.4,2016,E12000001,mean,female,all,weekly-pay-gross,workplace
742.3,GBP,1,,0.3,2016,K02000001,75,male,all,weekly-pay-excluding-overtime,workplace
,Count,1,x,x,2016,E06000003,80,all,part-time,paid-hours-worked-overtime,workplace
1.5,Count,1,,6.7,2016,K04000001,20,male,part-time,paid-hours-worked-overtime,workplace
686.1,GBP,1,,10.0,2016,E06000002,75,male,all,weekly-pay-gross,workplace
2.2,Count,1,,2.7,2016,K04000001,40,all,part-time,paid-hours-worked-overtime,workplace
,GBP,1,x,66.0,2016,E06000001,25,all,all,overtime-pay,workplace
455.4,GBP,1,,11.0,2016,E06000001,median,female,full-time,weekly-pay-gross,workplace
484.6,GBP,1,,3.7,2016,E06000004,mean,female,full-time,weekly-pay-excluding-overtime,workplace
17.8,Count,1,,0.2,2016,K03000001,mean,female,part-time,paid-hours-worked-basic,workplace
135.6,GBP,1,,7.1,2016,E12000001,40,male,part-time,basic-pay-including-other-pay,workplace
,Count,1,x,53.0,2016,E06000002,median,all,part-time,paid-hours-worked-overtime,workplace
8.0,Count,1,,11.0,2016,E12000001,20,male,part-time,paid-hours-worked-basic,workplace
620.2,GBP,1,,11.0,2016,E06000001,70,all,full-time,weekly-pay-gross,workplace
18.7,Count,1,,0.5,2016,K03000001,median,female,part-time,paid-hours-worked-basic,workplace
4.3,Count,1,,8.2,2016,E12000001,median,male,full-time,paid-hours-worked-overtime,workplace
479.1,GBP,1,,1.6,2016,E12000001,median,male,full-time,basic-pay-including-other-pay,workplace
859.5,GBP,1,,0.3,2016,K04000001,80,male,all,weekly-pay-gross,workplace
14.8,Count,1,,1.1,2016,K03000001,40,male,part-time,paid-hours-worked-basic,workplace
396.4,GBP,1,,1.4,2016,K02000001,90,female,part-time,weekly-pay-excluding-overtime,workplace
18.6,Count,1,,0.4,2016,E92000001,median,female,part-time,paid-hours-worked-basic,workplace
107.6,GBP,1,,0.6,2016,E92000001,25,female,part-time,basic-pay-including-other-pay,workplace
,Count,1,x,x,2016,E06000002,60,all,part-time,paid-hours-worked-overtime,workplace
216.9,GBP,1,,2.4,2016,E12000001,mean,all,part-time,weekly-pay-gross,workplace
25.0,Count,1,,5.2,2016,E12000001,80,male,part-time,paid-hours-worked-basic,workplace
18.1,Count,1,,7.3,2016,E06000002,40,female,part-time,paid-hours-worked-basic,workplace
,Count,1,x,46.0,2016,E06000005,40,male,full-time,paid-hours-worked-overtime,workplace
,GBP,1,x,x,2016,E06000005,90,male,full-time,basic-pay-including-other-pay,workplace
713.8,GBP,1,,20.0,2016,E06000002,80,male,all,weekly-pay-gross,workplace
18.0,Count,1,,5.7,2016,E12000001,median,male,part-time,paid-hours-worked-basic,workplace
149.3,GBP,1,,0.5,2016,E92000001,40,female,part-time,weekly-pay-excluding-overtime,workplace
,Count,1,x,x,2016,E06000001,90,female,part-time,paid-hours-worked-basic,workplace
,GBP,1,x,30.0,2016,E06000001,70,female,part-time,basic-pay-including-other-pay,workplace
1.4,Count,1,,1.3,2016,E92000001,mean,male,full-time,paid-hours-worked-overtime,workplace
,Count,1,x,x,2016,E06000004,75,male,part-time,paid-hours-worked-basic,workplace
,GBP,1,x,34.0,2016,E06000005,20,all,part-time,weekly-pay-gross,workplace
12.0,Count,1,,11.0,2016,E06000004,25,female,part-time,paid-hours-worked-basic,workplace
,Count,1,x,27.0,2016,E06000002,mean,male,full-time,paid-hours-worked-overtime,workplace
93.2,GBP,1,,1.4,2016,K02000001,25,male,part-time,basic-pay-including-other-pay,workplace
170.2,GBP,1,,14.0,2016,E06000001,25,female,all,weekly-pay-gross,workplace
37.1,Count,1,,0.3,2016,E06000002,40,female,full-time,paid-hours-worked-basic,workplace
232.3,GBP,1,,0.6,2016,E92000001,70,female,part-time,weekly-pay-excluding-overtime,workplace
17.8,Count,1,,16.0,2016,E06000003,median,female,part-time,paid-hours-worked-basic,workplace
79.2,GBP,1,,3.3,2016,K03000001,80,female,all,overtime-pay,workplace
8.3,Count,1,,2.3,2016,E92000001,75,male,full-time,paid-hours-worked-overtime,workplace
37.0,Count,1,,3.3,2016,E06000003,40,female,full-time,paid-hours-worked-basic,workplace
453.5,GBP,1,,0.3,2016,E92000001,30,male,full-time,weekly-pay-gross,workplace
1.8,Count,1,,1.6,2016,K03000001,30,all,all,paid-hours-worked-overtime,workplace
,Count,1,x,x,2016,E06000001,90,male,part-time,paid-hours-worked-overtime,workplace
